	word	stress_pos	nr_syll
184	варить	1	2
185	роту	2	2
186	пятьдесят	1	3
187	человек	1	3
188	последний	2	3
189	англичане	2	4
190	подбросили	3	4
191	свои	1	2
192	мясорубки	2	4
193	пренеприятные	3	6
194	штуковины	3	4
195	били	2	2
196	нашим	2	2
197	окопам	2	3
198	понесли	1	3
199	потери	2	3
200	вернулось	2	3
201	восемьдесят	4	4
202	прибыли	3	3
203	растянулись	2	4
204	нарах	2	2
205	первым	2	2
206	делом	2	2
207	выспаться	3	3
208	войне	1	2
209	скверно	2	2
210	побольше	2	3
211	поспать	1	2
212	поспишь	1	2
213	тянутся	3	3
214	первые	3	3
215	стали	2	2
216	выползать	1	3
217	бараков	2	3
218	полдень	2	2
219	прихватили	2	4
220	котелки	1	3
221	собрались	1	3
222	дорогого	2	4
223	нашему	3	3
224	сердцу	2	2
225	которого	3	4
226	пахло	2	2
227	наваристым	3	4
228	вкусным	2	2
229	разумеется	3	5
230	первыми	3	3
231	очереди	4	4
232	стояли	2	3
233	кого	1	2
234	самый	2	2
235	большой	1	2
236	аппетит	1	3
237	коротышка	2	4
238	самая	3	3
239	светлая	3	3
240	голова	1	3
241	роте	2	2
242	ефрейторы	3	4
243	который	2	3
244	собой	1	2
245	учебники	3	4
246	мечтает	2	3
247	льготные	3	3
248	экзамены	3	4
249	ураганным	2	4
250	зубрит	1	2
251	законы	2	3
252	физики	3	3
253	носит	2	2
254	окладистую	4	5
255	бороду	3	3
256	питает	2	3
257	слабость	2	2
258	девицам	2	3
259	публичных	2	3
260	домов	1	2
261	офицеров	2	4
262	божится	2	3
263	приказ	1	2
264	армии	3	3
265	этих	2	2
266	девиц	1	2
267	носить	1	2
268	белье	1	2
269	посетителей	3	5
270	чине	2	2
271	капитана	2	4
272	выше	2	2
273	ванну	2	2
274	четверым	1	3
275	девятнадцати	3	5
276	четверо	3	3
277	ушли	1	2
278	одного	1	3
279	класса	2	2
280	стоят	1	2
281	друзья	1	2
282	слесарь	2	2
283	тщедушный	2	3
284	одних	1	2
285	прожорливый	3	4
286	солдат	1	2
287	еду	2	2
288	садится	2	3
289	тонким	2	2
290	стройным	2	2
291	пузатым	2	3
292	насосавшийся	3	5
293	ровесник	2	3
294	свободно	2	3
295	может	2	2
296	руку	2	2
297	буханку	2	3
298	спросить	1	2
299	отгадайте	2	4
300	кулаке	1	3
301	крестьянин	2	3
302	думает	3	3
303	хозяйстве	2	3
304	жене	1	2
305	душа	1	2
306	отделения	3	5
307	характером	3	4
308	умница	3	3
309	ему	1	2
310	него	1	2
311	землистое	3	4
312	лицо	1	2
313	голубые	2	4
314	глаза	1	2
315	покатые	3	4
316	плечи	2	2
317	необыкновенный	2	6
318	обстрел	1	2
319	разжиться	2	3
320	съестным	1	2
321	лучше	2	2
322	всего	1	2
323	укрыться	2	3
324	начальства	2	3
325	знаменитый	2	4
326	купец	1	2
327	звали	2	2
328	легенд	1	2
329	широте	1	3
330	натуры	2	3
331	ходило	2	3
332	немало	2	3
333	ярко	2	2
334	описал	1	3
335	фигуру	2	3
336	русский	2	2
337	публицист	1	3
338	экстравагантные	3	6
339	выходки	3	3
340	особенно	3	4
341	знаменитые	3	5
342	пиры	1	2
343	которых	2	3
344	появлялся	2	4
345	разных	2	2
346	кавказском	2	3
347	бухарском	2	3
348	римским	2	2
349	гладиатором	3	5
350	тигровой	2	3
351	шкурой	2	2
352	спине	1	2
353	нему	1	2
354	чудному	3	3
355	сложению	3	4
356	отработанным	3	5
357	мускулам	3	3
358	пишет	2	2
359	огромному	3	4
360	особняку	1	4
361	гуляли	2	3
362	ручных	1	2
363	тигра	2	2
364	ужас	2	2
365	одной	1	2
366	фабрик	2	2
367	держал	1	2
368	ручного	2	3
369	серого	3	3
370	волка	2	2
371	этот	2	2
372	особому	3	4
373	развлечению	3	5
374	хозяина	3	4
375	любил	2	2
376	печенье	2	3
377	пироги	2	3
378	накрытого	3	4
379	приходу	2	3
380	гостей	1	2
381	стола	1	2
382	подвале	2	3
383	медведь	1	2
384	которым	2	3
385	хозяин	2	3
386	помериться	3	4
387	после	1	2
388	свадьбы	2	2
389	подарил	1	3
390	молодой	1	3
391	огромный	2	3
392	ящик	2	2
393	открыли	2	3
394	качестве	3	3
395	подарка	2	3
396	находился	2	4
397	громадный	2	3
398	живой	1	2
399	крокодил	1	3
400	поразил	1	3
401	москвичей	1	3
402	эксцентрическими	4	6
403	выходками	4	4
404	поступком	2	3
405	глубоко	1	3
406	верующего	5	5
407	страдающего	4	5
408	человека	2	4
409	прожил	1	2
410	года	2	2
411	смерти	2	2
412	тысяча	3	3
413	восемьсот	1	3
414	пятом	2	2
415	году	1	2
416	оказалось	2	4
417	духовному	3	4
418	завещанию	3	5
419	оставил	2	3
420	нужды	2	2
421	детской	2	2
422	медицины	2	4
423	состояние	3	5
424	стоимостью	4	4
425	тысяч	2	2
426	рублей	1	2
427	капитал	1	3
428	триста	2	2
429	содержание	3	5
430	больницы	2	3
431	такие	2	3
432	были	2	2
433	огромные	3	4
434	деньги	2	2
435	современников	3	5
436	писал	1	2
437	фирма	2	2
438	одна	1	2
439	происхождению	3	6
440	она	1	2
441	сродни	1	2
442	фирмам	2	2
443	родоначальник	2	5
444	восточных	2	3
445	уездов	2	3
446	губернии	3	4
447	современник	2	4
448	фамилия	3	4
449	возрастом	3	3
450	почти	1	2
451	ровесница	3	4
452	богатством	2	3
453	крайней	2	2
454	мере	2	2
455	равняется	3	4
456	ними	2	2
457	текстильных	2	3
458	фабрикантов	2	4
459	больших	1	2
460	фабрики	3	3
461	фабрика	3	3
462	находилась	2	4
463	бумажную	3	4
464	пряжу	2	2
465	была	1	2
466	крупнейшая	3	4
467	производству	2	4
468	бумажной	2	3
469	пряжи	2	2
470	некоторые	5	5
471	годы	2	2
472	вторая	2	3
473	окраине	3	4
474	специализировалась	4	8
475	переработке	2	5
476	третья	2	2
477	которая	3	4
478	принадлежала	2	5
479	селе	2	2
480	уезда	2	3
481	большая	2	3
482	рабочих	2	3
483	числилось	3	3
484	вату	2	2
485	нитки	2	2
486	сказать	1	2
487	традициях	3	4
488	благотворительности	4	7
489	семье	1	2
490	отец	1	2
491	дядя	2	2
492	родная	2	3
493	сестра	1	2
494	благотворительница	4	7
495	они	1	2
496	занимались	2	4
497	активно	2	3
498	филантропией	3	5
499	варвара	3	3
500	втором	1	2
501	внесла	1	2
502	устройство	2	3
503	психиатрической	3	6
504	клиники	3	3
505	медицинского	3	5
506	факультета	2	4
507	университета	2	6
508	известное	3	4
509	пожертвование	5	6
510	предназначено	3	5
511	создания	3	4
512	общедоступной	2	5
513	имени	3	3
514	читальня	2	3
515	воссоздана	3	4
516	одном	1	2
517	ближних	2	2
518	первоначально	2	5
519	центре	2	2
520	нынешней	3	3
521	площади	3	3
522	площадь	2	2
523	название	3	4
524	этой	2	2
525	читальне	2	3
526	постройку	2	3
527	начального	3	4
528	женского	3	3
529	училища	3	4
530	создание	3	4
531	физической	3	4
532	лаборатории	3	6
533	интересно	2	4
534	часто	2	2
535	встречается	3	4
536	знаем	2	2
537	прежнего	3	3
538	времени	3	3
539	жили	2	2
540	домах	1	2
541	печным	1	2
542	отоплением	3	5
543	бедняки	1	3
544	могли	1	2
545	купить	1	2
546	дрова	1	2
547	ежегодно	2	4
548	давала	2	3
549	раздачи	2	3
550	бедным	2	2
551	попечительства	3	5
552	бедных	2	2
553	решил	1	2
554	пожертвовать	3	4
555	детскую	3	3
556	больницу	2	3
557	дело	2	2
558	единственный	3	4
559	известно	2	3
560	воспоминаний	2	5
561	знакомых	2	3
562	возрасте	3	3
563	погиб	1	2
564	школе	2	2
565	играл	1	2
566	лестнице	3	3
567	другими	2	3
568	детьми	1	2
569	толкнул	1	2
570	неудачно	2	4
571	мальчик	2	2
572	упал	1	2
573	ударился	3	4
574	головой	1	3
575	скоропостижно	2	5
576	скончался	2	3
577	конечно	2	3
578	отца	1	2
579	произвело	1	4
580	впечатление	3	5
581	результатом	2	4
582	внутренних	3	3
583	страданий	2	3
584	стало	2	2
585	пожертвовал	3	4
586	детская	3	3
587	больница	2	3
588	потребности	3	4
589	общества	3	3
590	детских	2	2
591	больницах	2	3
592	конце	1	2
593	девятнадцатого	4	6
594	начале	2	3
595	двадцатого	3	4
596	века	2	2
597	высокая	3	4
598	смертность	2	2
599	вызвана	3	3
600	женщин	2	2
601	время	2	2
602	беременности	4	5
603	отсутствие	3	4
604	свободного	3	4
605	недостаток	2	4
606	ухода	2	3
607	следствие	3	3
608	бедности	3	3
609	безграмотности	4	5
610	женщины	3	3
611	родов	2	2
612	приступали	2	4
613	работам	2	3
614	обеспечить	2	4
615	грудное	2	3
616	вскармливание	5	5
617	детей	1	2
618	мякишем	3	3
619	результате	2	4
620	кишечных	2	3
621	заболеваний	2	5
622	дети	2	2
623	умирали	2	4
624	следующей	4	4
625	возрастной	1	3
626	группе	2	2
627	десяти	1	3
628	высокие	3	4
629	показатели	3	5
630	смертности	3	3
631	распространением	3	6
632	болезней	2	3
633	оспы	2	2
634	скарлатины	2	4
635	дифтерии	2	4
636	кори	2	2
637	тифов	2	2
638	связано	3	3
639	отсутствием	3	4
640	санитарных	2	4
641	представлений	2	4
642	народе	2	3
643	мире	2	2
644	всеобщая	3	4
645	вакцинация	3	5
646	началась	1	3
647	фактически	3	4
648	мировой	1	3
649	войны	2	2
650	эту	2	2
651	целью	2	2
652	лечение	3	4
653	открыта	2	3
654	девяносто	2	4
655	первом	2	2
656	тридцать	2	2
657	кроватей	2	3
658	заглянем	2	3
659	адресную	4	4
660	книжку	2	2
661	врачей	1	2
662	ветеринаров	2	5
663	дантистов	2	3
664	лечебных	2	3
665	заведений	2	4
666	аптек	1	2
667	девятьсот	1	3
668	третий	2	2
669	увидим	2	3
670	работала	3	4
671	ежедневно	2	4
672	двенадцати	3	4
673	часов	1	2
674	больных	1	2
675	первый	2	2
676	солдата	2	3
677	желудок	2	3
678	пищеварение	3	6
679	особую	3	4
680	сферу	2	2
681	ближе	2	2
682	остальным	1	3
683	словарный	2	3
684	четверти	3	3
685	заимствован	3	4
686	сферы	2	2
687	находит	2	3
688	краски	2	2
689	помощью	3	3
690	умеет	2	3
691	сочно	2	2
692	самобытно	2	4
693	выразить	3	3
694	величайшую	3	5
695	радость	2	2
696	глубочайшее	3	5
697	возмущение	3	5
698	каком	1	2
699	другом	1	2
700	наречии	3	4
701	выразиться	4	4
702	кратко	2	2
703	ясно	2	2
704	домой	1	2
705	домашние	3	4
706	учителя	3	4
707	будут	2	2
708	здорово	2	3
709	удивлены	1	4
710	поделаешь	3	4
711	эти	2	2
712	функции	3	3
713	организма	2	4
714	приобрели	1	4
715	невинный	2	3
716	характер	2	3
717	силу	1	2
718	публично	2	3
719	отвыкли	2	3
720	видеть	2	2
721	нечто	2	2
722	зазорное	3	4
723	возможность	2	3
724	справить	2	2
725	дела	2	2
726	обстановке	2	4
727	сказал	1	2
728	высоко	1	3
729	красиво	2	3
730	комбинация	3	5
731	скате	2	2
732	верными	3	3
733	шансами	3	3
734	выигрыш	3	3
735	немецком	2	3
736	возникло	2	3
737	выражение	3	5
738	новости	3	3
739	отхожих	2	3
740	всякого	3	3
741	рода	2	2
742	поболтать	1	3
743	солдату	2	3
744	уголках	1	3
745	традиционное	3	6
746	место	2	2
747	столиком	2	3
748	пивной	1	2
749	себя	1	2
750	самом	2	2
751	комфортабельном	3	5
752	туалете	2	4
753	белыми	3	3
754	кафельными	4	4
755	стенками	3	3
756	чисто	2	2
757	удивительно	3	5
758	бездумные	3	4
759	часы	1	2
760	синее	2	3
761	небо	2	2
762	горизонте	2	4
763	повисли	2	3
764	аэростаты	2	5
765	белые	3	3
766	облачка	1	3
767	разрывы	2	3
768	зенитных	2	3
769	порой	1	2
770	взлетают	2	3
771	высоким	2	3
772	снопом	1	2
773	зенитчики	3	4
774	охотятся	3	4
775	аэропланом	2	5
776	фронта	2	2
777	доносится	3	4
778	слабо	2	2
779	гроза	1	2
780	стоит	1	2
781	прожужжать	1	3
782	гула	2	2
783	этого	3	3
784	слышно	2	2
785	расстилается	3	5
786	цветущий	2	3
787	колышутся	3	4
788	нежные	3	3
789	порхают	2	3
790	капустницы	3	4
791	плывут	1	2
792	мягком	2	2
793	теплом	1	2
794	воздухе	3	3
795	позднего	3	3
796	лета	2	2
797	читаем	2	3
798	письма	2	2
799	газеты	2	3
800	фуражки	2	3
801	ветер	2	2
802	играет	2	3
803	нашими	3	3
804	волосами	2	4
805	словами	2	3
806	мыслями	3	3
807	будки	2	2
808	цветов	1	2
809	полевого	2	4
810	мака	2	2
811	коленки	2	3
812	крышку	2	2
813	бочки	1	2
814	маргарином	2	4
815	удобно	2	3
816	играть	1	2
817	прихватил	1	3
818	карты	2	2
819	каждый	2	2
820	ската	2	2
821	чередуется	3	5
822	партией	3	3
823	такой	1	2
824	игрой	1	2
825	просидеть	1	3
826	целую	3	3
827	вечность	2	2
828	долетают	2	4
829	звуки	2	2
830	гармоники	3	4
831	друга	2	2
832	ребята	2	3
833	немного	2	3
834	крышка	2	2
835	минуту	2	3
836	умолкаем	2	4
837	властному	3	3
838	загнанному	4	4
839	чувству	2	2
840	присутствие	3	4
841	слова	1	2
842	нужны	1	2
843	могло	1	2
844	случиться	2	3
845	пришлось	1	2
846	сидеть	1	2
847	кабинах	2	3
848	побери	1	3
849	волосок	1	3
850	остро	1	2
851	алые	3	3
852	сытная	3	3
853	еда	1	2
854	летний	2	2
855	ветерок	1	3
856	видел	2	2
857	лазарете	2	4
858	отвечаю	2	4
859	сквозное	2	3
860	ранение	3	4
861	бедра	1	2
862	верный	2	2
863	вернуться	2	3
864	решаем	2	3
865	навестить	1	3
866	обеда	2	3
867	письмо	1	2
868	окурок	2	3
869	строгий	2	2
870	маленький	3	3
871	человечек	2	4
872	сером	2	2
873	сюртуке	2	3
874	острым	2	2
875	мышиная	3	4
876	мордочка	3	3
877	личиком	3	3
878	классным	2	2
879	наставником	3	4
880	примерно	2	3
881	роста	1	2
882	странно	2	2
883	всяческие	4	4
884	беды	2	2
885	несчастья	2	3
886	свете	2	2
887	исходят	2	3
888	людей	2	2
889	маленького	4	4
890	энергичный	2	4
891	неуживчивый	3	5
892	высоких	2	3
893	старался	2	3
894	попадать	1	3
895	ротами	3	3
896	командуют	3	4
897	офицеры	2	4
898	невысокого	3	5
899	ужасно	2	3
900	придираются	3	5
901	уроках	2	3
902	гимнастики	3	4
903	выступал	1	3
904	речами	2	3
905	концов	1	2
906	добился	2	3
907	строем	2	2
908	командой	2	3
909	отправился	3	4
910	окружное	3	4
911	военное	3	4
912	управление	3	5
913	записались	2	4
914	добровольцами	3	5
915	нарядившиеся	4	6
916	дурацкой	2	3
917	моде	2	2
918	мистер	2	2
919	забарабанил	2	5
920	пальцами	3	3
921	сгрудившихся	3	4
922	странных	2	2
923	типов	2	2
924	шептавшихся	3	4
925	ярость	2	2
926	молоды	3	3
927	подумать	2	3
928	мужчин	1	2
929	выглядел	3	3
930	старше	2	2
931	позволил	2	3
932	себе	1	2
933	облачиться	2	4
934	мантию	3	3
935	мистера	3	3
936	осенила	2	4
937	непонятные	3	5
938	личности	3	3
939	пожертвования	5	6
940	роде	2	2
941	оно	1	2
942	стоявшие	3	4
943	пробке	2	2
944	машины	2	3
945	тронулись	3	3
946	места	1	2
947	въехал	2	2
948	фирмы	2	2
949	забита	2	3
950	дрелями	3	3
951	кабинет	1	3
952	девятом	2	3
953	этаже	1	3
954	сидел	1	2
955	спиной	1	2
956	окну	1	2
957	лицом	1	2
958	скорее	2	3
959	трудно	2	2
960	сосредоточиться	3	6
961	дрелях	2	2
962	летающих	3	4
963	бела	1	2
964	совы	1	2
965	лесные	2	3
966	птицы	2	2
967	городах	1	3
968	таких	1	2
969	живут	1	2
970	отличие	3	4
971	находящиеся	4	6
972	улице	3	3
973	отлично	2	3
974	видели	3	3
975	стремительно	3	4
976	другой	1	2
977	широко	1	3
978	удивления	3	5
979	большинство	1	3
980	жизни	2	2
981	единой	2	3
982	ночное	2	3
983	нормальное	3	4
984	утро	2	2
985	накричал	1	3
986	пятерых	1	3
987	важных	2	2
988	звонков	1	2
989	повысил	2	3
990	голос	2	2
991	своих	1	2
992	телефонных	2	4
993	собеседников	3	5
994	настроение	3	5
995	отличное	3	4
996	размять	1	2
997	ноги	2	2
998	булочку	3	3
999	булочной	3	3
1000	забыл	1	2
1001	мантиях	3	3
1002	столкнулся	2	3
1003	группкой	2	2
1004	взгляде	2	2
1005	становилось	2	4
1006	типы	2	2
1007	заметил	2	3
1008	руках	1	2
1009	кружки	1	2
1010	сбора	2	2
1011	пожертвований	4	5
1012	выйдя	2	2
1013	пакетом	2	3
1014	котором	2	3
1015	лежал	1	2
1016	пончик	2	2
1017	вынужден	3	3
1018	пройти	1	2
1019	личностей	3	3
1020	момент	1	2
1021	случайно	2	3
1022	услышал	2	3
1023	совершенно	2	4
1024	верно	2	2
1025	замер	2	2
1026	перехватило	2	5
1027	дыхание	3	4
1028	ощутил	1	3
1029	волна	1	2
1030	страха	2	2
1031	оглянулся	2	4
1032	хотел	1	2
1033	передумал	2	4
1034	дорогу	2	3
1035	поспешно	2	3
1036	поднялся	2	3
1037	рявкнул	2	2
1038	секретарше	2	4
1039	сорвал	1	2
1040	телефонную	3	5
1041	трубку	2	2
1042	предпоследнюю	3	5
1043	цифру	2	2
1044	своего	1	3
1045	домашнего	3	4
1046	номера	1	3
1047	положил	1	3
1048	обратно	2	3
1049	рычаг	1	2
1050	начал	2	2
1051	усы	1	2
1052	думая	3	3
1053	глупость	2	2
1054	такая	2	3
1055	редкая	3	3
1056	убедил	1	3
1057	семей	1	2
1058	носящих	2	3
1059	фамилию	3	4
1060	имеющих	3	4
1061	сына	2	2
1062	уверенностью	4	5
1063	утвердить	1	3
1064	племянника	3	4
1065	зовут	1	2
1066	мальчика	3	3
1067	возможно	2	3
1068	чему	1	2
1069	огорчалась	2	4
1070	заходила	2	4
1071	сестре	1	2
1072	жену	1	2
1073	похода	2	3
1074	пончиком	3	3
1075	мистеру	3	3
1076	сложнее	2	3
1077	вечера	1	3
1078	покидал	1	3
1079	здание	3	3
1080	взволнован	2	3
1081	выходя	1	3
1082	дверей	1	2
1083	проходившего	3	5
1084	врезался	2	3
1085	пробурчал	1	3
1086	видя	2	2
1087	старикашка	2	4
1088	пошатнулся	2	4
1089	понадобилось	4	5
1090	секунд	1	2
1091	осознать	1	3
1092	старичок	1	3
1093	одет	1	2
1094	фиолетовую	4	6
1095	нисколько	2	3
1096	огорчился	2	4
1097	тому	1	2
1098	сбили	2	2
1099	улыбнулся	2	4
1100	писклявым	2	3
1101	голосом	3	3
1102	заставившим	3	4
1103	прохожих	2	3
1104	обернуться	2	4
1105	наше	2	2
1106	отделение	3	5
1107	очередь	3	3
1108	образовавшуюся	4	7
1109	кухни	2	2
1110	нетерпение	3	5
1111	ничего	1	3
1112	повар	2	2
1113	крикнул	2	2
1114	видно	2	2
1115	фасоль	1	2
1116	сварилась	2	3
1117	сонно	2	2
1118	покачал	1	3
1119	соберутся	2	4
1120	ухмыльнулся	2	4
1121	карман	1	2
1122	шире	2	2
1123	остальные	2	4
1124	тебя	1	2
1125	довольствии	3	4
1126	земле	1	2
1127	пошатнуло	2	4
1128	сварил	1	2
1129	кулаком	1	3
1130	наедимся	2	4
1131	давай	1	2
1132	раздачу	2	3
1133	внезапная	3	4
1134	острое	3	3
1135	засветилось	2	4
1136	лукаво	2	3
1137	сощурились	3	4
1138	скулы	2	2
1139	заиграли	2	4
1140	поближе	2	3
1141	дружище	2	3
1142	значит	2	2
1143	огорошенный	3	5
1144	рассеянно	3	4
1145	кивнул	1	2
1146	схватил	1	2
1147	колбасу	1	3
1148	отвисла	2	3
1149	челюсть	2	2
1150	обернулся	2	4
1151	сияло	2	3
1152	достанется	3	4
1153	будет	2	2
1154	обождите	2	4
1155	ожил	2	2
1156	заявил	1	3
1157	стряхнули	2	3
1158	протиснулись	3	4
1159	морковка	2	3
1160	выйдет	2	2
1161	спросил	1	2
1162	тебе	1	2
1163	покажем	2	3
1164	сделать	2	2
1165	проворчал	1	3
1166	выдам	2	2
1167	упорствовать	3	4
1168	вышел	2	2
1169	самого	3	3
1170	разок	1	2
1171	продукты	2	3
1172	вторую	2	3
1173	выдашь	2	2
1174	рота	2	2
1175	взяли	2	2
1176	оборот	1	3
1177	вине	1	2
1178	обед	1	2
1179	попадал	1	3
1180	окопы	2	3
1181	остывшим	2	3
1182	большим	1	2
1183	опозданием	3	5
1184	пустяковом	2	4
1185	огне	1	2
1186	решался	2	3
1187	подъехать	2	3
1188	своим	1	2
1189	котлом	1	2
1190	подносчикам	3	4
1191	пищи	1	2
1192	приходилось	2	4
1193	ползти	1	2
1194	дальше	2	2
1195	собратьям	2	3
1196	других	1	2
1197	первой	2	2
1198	роты	2	2
1199	жирным	2	2
1200	хомяк	1	2
1201	тащил	1	2
1202	кухню	2	2
1203	самой	2	2
1204	настроены	3	4
1205	воинственно	3	4
1206	дошло	2	2
1207	драки	2	2
1208	месте	2	2
1209	происшествия	3	5
1210	появился	2	4
1211	командир	1	3
1212	спорим	2	2
1213	большие	2	3
1214	заглянул	1	3
1215	кажется	3	3
1216	неплохая	2	4
1217	смальцем	2	2
1218	говядиной	3	4
1219	лейтенант	1	3
1220	посмотрел	1	3
1221	понял	2	2
1222	думаем	3	3
1223	многое	3	3
1224	нашей	1	2
1225	среды	2	2
1226	приподнял	1	3
1227	котла	1	2
1228	уходя	1	3
1229	тарелочку	3	4
1230	раздать	1	2
1231	добру	1	2
1232	пропадать	1	3
1233	физиономия	3	6
1234	приняла	1	3
1235	глупое	3	3
1236	приплясывал	3	4
1237	ведает	3	3
1238	интендантской	2	4
1239	службой	2	2
1240	старая	3	3
1241	крыса	2	2
1242	просчитайся	2	4
1243	висельник	3	3
1244	прошипел	1	3
1245	готов	1	2
1246	лопнуть	2	2
1247	злости	2	2
1248	происходящее	3	6
1249	укладывалось	4	5
1250	голове	1	3
1251	творится	2	3
1252	белом	2	2
1253	желая	2	3
1254	показать	1	3
1255	едино	2	3
1256	искусственного	4	5
1257	меду	1	2
1258	брата	2	2
1259	деле	2	2
1260	выдался	3	3
1261	хороший	2	3
1262	почта	2	2
1263	пришла	2	2
1264	нескольку	3	3
1265	писем	2	2
1266	газет	1	2
1267	спеша	2	2
1268	бараками	3	4
1269	мышкой	2	2
1270	круглую	3	3
1271	правом	2	2
1272	луга	1	2
1273	выстроена	4	4
1274	солдатская	3	4
1275	уборная	3	4
1276	добротно	2	3
1277	срубленное	4	4
1278	строение	3	4
1279	крышей	2	2
1280	интерес	1	3
1281	новобранцев	2	4
1282	научились	2	4
1283	пользу	2	2
1284	получше	2	3
1285	лугу	1	2
1286	одиночные	3	5
1287	кабины	2	3
1288	предназначенные	4	6
1289	цели	2	2
1290	ящики	3	3
1291	опрятные	3	4
1292	сколоченные	4	5
1293	досок	1	2
1294	закрытые	3	4
1295	сторон	1	2
1296	великолепным	2	5
1297	удобным	2	3
1298	сиденьем	2	3
1299	ручки	2	2
1300	переносить	1	4
1301	кружок	1	2
1302	неторопливо	2	5
1303	рассаживаемся	5	6
1304	помню	2	2
1305	стеснялись	2	3
1306	первых	2	2
1307	порах	1	2
1308	новобранцами	3	5
1309	казармах	2	3
1310	пользоваться	4	4
1311	общей	1	2
1312	уборной	2	3
1313	сидит	1	2
1314	рядком	1	2
1315	трамвае	2	3
1316	окинуть	2	3
1317	одним	1	2
1318	взглядом	2	2
1319	должен	2	2
1320	наблюдением	4	5
1321	стыдливость	2	3
1322	другое	2	3
1323	временем	3	3
1324	привыкли	2	3
1325	таким	1	2
1326	вещам	1	2
1327	свежем	2	2
1328	занятие	3	4
1329	истинное	4	4
1330	наслаждение	3	5
1331	знаю	2	2
1332	отправлениях	3	5
1333	естественны	3	4
1334	питье	1	2
1335	стоило	3	3
1336	распространяться	2	5
1337	играли	2	3
1338	существенную	4	5
1339	естественность	3	4
1340	новинку	2	3
1341	очевидной	2	4
1342	извиняйтесь	2	4
1343	дорогой	1	3
1344	господин	1	3
1345	уронили	2	4
